wordle_dict,V1,V2,V3,V4,V5,p 7,s 7,p 8,s 8,p 9,s 9,p 10,s 10,p 11,s 11,sumf,sum_uniqs,unique,score,rank,UxSUxSF,rank2
jibba,j,i,b,b,a,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.582485353068147,2.5084798026518653,1.8732654949121186,2.5084798026518653,5.242059821153253,9.23527597903176,21.916435399321617,17.987974098057354,4,87.66574159728647,12606,1576.929089138978,12631
jibbs,j,i,b,b,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.582485353068147,2.5084798026518653,1.8732654949121186,2.5084798026518653,30.511871723712613,10.275979031760716,47.186247301880975,19.02867715078631,4,188.7449892075239,6173,3591.567463458619,9352
jibed,j,i,b,e,d,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.582485353068147,2.5084798026518653,17.9386370644465,10.271353684859697,6.344434165895775,3.781991982732038,39.08418131359852,22.80604378661733,5,195.4209065679926,5765.5,4456.7777520100935,7599
jiber,j,i,b,e,r,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.582485353068147,2.5084798026518653,17.9386370644465,10.271353684859697,5.188097440641382,6.410730804810361,37.92784458834413,25.434782608695652,5,189.63922294172065,6126,4823.432409604634,6910
jibes,j,i,b,e,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.582485353068147,2.5084798026518653,17.9386370644465,10.271353684859697,30.511871723712613,10.275979031760716,63.25161887141536,29.30003083564601,5,316.2580943570768,850.5,9266.371916684995,1429
jiffs,j,i,f,f,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,1.3721862473018809,1.719087264878199,1.7961763798951587,1.719087264878199,30.511871723712613,10.275979031760716,45.898859081097754,18.239284613012643,4,183.59543632439102,6527,3348.6494167708074,9853
jiggy,j,i,g,g,y,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.80604378661733,2.534690101757632,3.260869565217391,2.534690101757632,10.029293863706444,3.1976564909034844,28.314831945729264,11.976564909034845,4,113.25932778291705,11723,1356.4576907457597,12777
jigot,j,i,g,o,t,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,2.80604378661733,2.534690101757632,5.38082022818378,6.842429848905334,5.604378661732963,5.080172679617638,26.009867406722172,20.70151094665433,5,130.04933703361087,10784,2692.2177742064337,11114
jihad,j,i,h,a,d,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,0.9250693802035153,2.713536848596978,8.279370952821461,9.23527597903176,6.344434165895775,3.781991982732038,27.76749922910885,21.975023126734506,5,138.83749614554426,10148,3050.9571886562476,10453
jills,j,i,l,l,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,6.537156953438175,5.197348134443416,5.943570767807586,5.197348134443416,30.511871723712613,10.275979031760716,55.21122417514647,21.71754548257786,4,220.84489670058588,4448.5,4796.209088690183,6958
jilts,j,i,l,t,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,6.537156953438175,5.197348134443416,6.922602528522972,5.080172679617638,30.511871723712613,10.275979031760716,56.190255935861856,26.797718162195498,5,280.95127967930927,1931.5,7528.853210154293,2877
jimmy,j,i,m,m,y,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,3.939253777366636,3.046561825470244,3.0989824236817762,3.046561825470244,10.029293863706444,3.1976564909034844,29.286154794942956,12.488436632747456,4,117.14461917977182,11526.5,1462.9531534939126,12706
jimpy,j,i,m,p,y,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,3.939253777366636,3.046561825470244,3.2223250077089114,3.112858464384829,10.029293863706444,3.1976564909034844,29.40949737897009,15.601295097132285,5,147.04748689485046,9516,2294.1312363382544,11811
jingo,j,i,n,g,o,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,7.431390687634906,4.551341350601295,3.260869565217391,2.534690101757632,2.998766574159729,6.842429848905334,25.909651557200124,20.17267961763799,5,129.54825778600062,10817.5,2613.3354993401667,11269
jinks,j,i,n,k,s,1.557200123342584,0.4486586493987049,10.661424606845515,5.795559666975024,7.431390687634906,4.551341350601295,3.8775824853530683,2.320382362010484,30.511871723712613,10.275979031760716,54.03946962688869,23.391921060746224,5,270.1973481344435,2316,6320.435038383867,4339
